repost_id,create_time,create_date_time,retweeted_note_id,content,liked_count,comments_count,shared_count,last_modify_ts,note_url,ip_location,at_count,user_id,nickname,gender,profile_url,avatar,desc,follows,fans,statuses_count
5237863761315861,1764316298,2025-11-28 07:51:38+08:00,5237758266442267,这……,0,0,0,1773636869183,https://m.weibo.cn/detail/5237863761315861,北京,0,5393103230,space6699,女,https://m.weibo.cn/u/5393103230?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.21.0.1082.1082.180/005SYUvYly8fkhrifqljhj30v90u2q5o.jpg?KID=imgbed,tva&Expires=1773647669&ssig=uSFJlJPkUr",松弛 快乐 尽享人生,880,68,10049
5237859485484476,1764315279,2025-11-28 07:34:39+08:00,5237758266442267,//@北美学术八卦博主:,0,0,0,1773636869185,https://m.weibo.cn/detail/5237859485484476,江苏,1,1860293712,船新小白,女,https://m.weibo.cn/u/1860293712?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/6ee1d450ly8iazwada7rjj20u00u0jta.jpg?KID=imgbed,tva&Expires=1773647669&ssig=WJFYvqovbO",曾许人间第一流,1404,218,26247
5237857163414231,1764314725,2025-11-28 07:25:25+08:00,5237758266442267,有人的地方，就有江湖。,0,0,0,1773636869189,https://m.weibo.cn/detail/5237857163414231,中国澳门,0,3238143192,鼻科医生王先忠,男,https://m.weibo.cn/u/3238143192?launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.0.512.512.180/c10224d8ly8i26qp4gsdoj20e80e83yu.jpg?KID=imgbed,tva&Expires=1773647669&ssig=k%2F2bQKLkuO",擅长慢性鼻鼻窦炎、鼻息肉、腺样体肥大、内翻性乳头状瘤、鼻源性头痛、鼻科疑难杂症诊治。更多信息，请浏览我的个人网页：http://xzhwang.haodf.com,594,5.8万,99029
5237852028797787,1764313501,2025-11-28 07:05:01+08:00,5237758266442267,转发微博,0,0,0,1773636869192,https://m.weibo.cn/detail/5237852028797787,陕西,0,1668589577,隔壁国际法,男,https://m.weibo.cn/u/1668589577?launchid=10000360-page_H5,"https://tvax4.sinaimg.cn/crop.0.0.600.600.180/6374a809ly8gz4qmpmra8j20go0gomy0.jpg?KID=imgbed,tva&Expires=1773647669&ssig=%2Bnd7dspwTx",学习中的法律人,671,437,9526
5237849403163740,1764312875,2025-11-28 06:54:35+08:00,5237758266442267,Repost,0,0,0,1773636876740,https://m.weibo.cn/detail/5237849403163740,浙江,0,1350565915,YourFrien-D,男,https://m.weibo.cn/u/1350565915?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.755.755.180/5080001bly8hobkhhlqlnj20kz0kzq4s.jpg?KID=imgbed,tva&Expires=1773647676&ssig=0qbhos6396",个人学术主页 https://idengyf.github.io/,441,2.2万,4415
5237801270641087,1764301399,2025-11-28 03:43:19+08:00,5237758266442267,这...,0,0,0,1773636876745,https://m.weibo.cn/detail/5237801270641087,美国,0,1727449613,Phynics,男,https://m.weibo.cn/u/1727449613?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/66f6ca0dly8i8ujhaet8ij20u00u042q.jpg?KID=imgbed,tva&Expires=1773647676&ssig=PJL0SJCkis",我已为了你  去看了远山,479,5887,10624
5237788285076349,1764298303,2025-11-28 02:51:43+08:00,5237758266442267,nips估计成真人快打了,0,0,0,1773636876751,https://m.weibo.cn/detail/5237788285076349,日本,0,5048871040,哀得罗尼,男,https://m.weibo.cn/u/5048871040?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.180/005vGxZSly8i3n0bnv08nj30u00u0gog.jpg?KID=imgbed,tva&Expires=1773647676&ssig=jPt67VHcNN",何事惊慌,609,174,744
5237788161344455,1764298274,2025-11-28 02:51:14+08:00,5237758266442267,转发微博,0,0,0,1773636876755,https://m.weibo.cn/detail/5237788161344455,山东,0,5983634631,爱折腾的coconuts,男,https://m.weibo.cn/u/5983634631?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.445.445.180/006wWIHZly8h1cydo573hj30cd0cd74w.jpg?KID=imgbed,tva&Expires=1773647676&ssig=K3K8ihHQws",我只愿在万人如海中安心的过下去，那里处处有让人震动和狂喜的东西。,249,302,6193
5237787998814532,1764298235,2025-11-28 02:50:35+08:00,5237758266442267,是谁reject了我，而我，又reject了谁//@北美学术八卦博主:,3,0,0,1773636876760,https://m.weibo.cn/detail/5237787998814532,美国,1,7337714168,ClarkXL,男,https://m.weibo.cn/u/7337714168?launchid=10000360-page_H5,"https://tvax2.sinaimg.cn/crop.0.0.512.512.180/0080AiEwly8gc5kt1kirlj30e80e877f.jpg?KID=imgbed,tva&Expires=1773647676&ssig=RvP%2FHqsXHf",熊猫@amethystclark 分猫，身为熊猫，心有猛虎。小小小号是@许褚许仲康,893,531,8496
5237787901034822,1764298212,2025-11-28 02:50:12+08:00,5237758266442267,@Tracy飞啊飞 我真的希望我们的小领域公开审稿人，有一些人真的不配做评审,0,0,0,1773636876770,https://m.weibo.cn/detail/5237787901034822,美国,1,7778686786,Tyreal龟龟QIAN,男,https://m.weibo.cn/u/7778686786?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.600.600.180/008uqzM6ly8h6h11st9x4j30go0goq3y.jpg?KID=imgbed,tva&Expires=1773647676&ssig=fRBRscNIkK",,717,105,7540
5237777224434196,1764295666,2025-11-28 02:07:46+08:00,5237758266442267,Repost,0,0,0,1773636876781,https://m.weibo.cn/detail/5237777224434196,美国,0,7603962553,hell_is_other_people,男,https://m.weibo.cn/u/7603962553?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.512.512.180/008iBs1jly8h11y1eb9ayj30e80e8754.jpg?KID=imgbed,tva&Expires=1773647676&ssig=37wvXmaT%2Fu",,241,1016,1832
5237774938015107,1764295121,2025-11-28 01:58:41+08:00,5237758266442267,今晚太热闹了,0,0,0,1773636876788,https://m.weibo.cn/detail/5237774938015107,北京,0,1846972357,-遠觀近看大概都是五衫本衫-,男,https://m.weibo.cn/u/1846972357?launchid=10000360-page_H5,"https://tva1.sinaimg.cn/crop.0.0.641.641.180/6e168fc5jw8f6kk68fem3j20ht0htdga.jpg?KID=imgbed,tva&Expires=1773647676&ssig=M%2FdY09bmRV",533 vsziii,265,127,180
5237772755404181,1764294601,2025-11-28 01:50:01+08:00,5237758266442267,转发微博,0,0,0,1773636884396,https://m.weibo.cn/detail/5237772755404181,广东,0,7793479333,123木头人被占用了,男,https://m.weibo.cn/u/7793479333?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.153.128.383.383.180/008vqDZzly8h6qx11e5ccj30j60ht3z0.jpg?KID=imgbed,tva&Expires=1773647684&ssig=YnwHKdA1Pm",哈哈哈哈哈哈哈哈达人，不是好人，是人,1205,276,47560
5237770031202910,1764293951,2025-11-28 01:39:11+08:00,5237758266442267,转发,0,0,0,1773636884402,https://m.weibo.cn/detail/5237770031202910,浙江,0,5644371960,阁楼上的阿吉,男,https://m.weibo.cn/u/5644371960?launchid=10000360-page_H5,"https://tvax3.sinaimg.cn/crop.0.0.667.667.180/0069ZcZqly8fxpdgqjugij30ij0ij74z.jpg?KID=imgbed,tva&Expires=1773647684&ssig=hJwh6R3ezB",,188,33,2767
5237769022473003,1764293711,2025-11-28 01:35:11+08:00,5237758266442267,,0,0,0,1773636884408,https://m.weibo.cn/detail/5237769022473003,美国,0,1307254057,努力奋斗的圆圆脸,女,https://m.weibo.cn/u/1307254057?launchid=10000360-page_H5,"https://tvax1.sinaimg.cn/crop.0.0.512.512.180/4deb1d29ly8hyjtd11coyj20e80e80sw.jpg?KID=imgbed,tva&Expires=1773647684&ssig=9WPZsVW5Rk","可我生来就倔强|是热烈的骄阳 📖☕️🎹🐱  ”If you are willing to take the chance, the view from the other side is spectacular. —GA”.",2441,1899,5452
