source_agent,target_agent,direction
1013971684624424960,1249303876102000642,bidirectional
1013971684624424960,1252780168936075269,bidirectional
1013971684624424960,1256698649893011458,bidirectional
1013971684624424960,1266060215847436288,bidirectional
1013971684624424960,1266287914524143616,bidirectional
1013971684624424960,1270979457432473601,bidirectional
1013971684624424960,1273986149208506371,bidirectional
1013971684624424960,1276522016779243520,bidirectional
1013971684624424960,1277223122844803073,bidirectional
1013971684624424960,1280243479,bidirectional
1013971684624424960,128172086,bidirectional
1013971684624424960,1284141451626999813,bidirectional
1013971684624424960,1290454249059627009,bidirectional
1013971684624424960,1290851578312716290,bidirectional
1013971684624424960,1295511048200564742,bidirectional
1013971684624424960,1299613636713832448,bidirectional
1013971684624424960,1316416460584103941,bidirectional
1013971684624424960,1320173464372670464,bidirectional
1013971684624424960,1325476858654306307,bidirectional
1013971684624424960,1326897580568088577,bidirectional
1013971684624424960,1326906125812441090,bidirectional
1013971684624424960,1330077340374872066,bidirectional
1013971684624424960,1335141886126788609,bidirectional
1013971684624424960,1335954546200203264,bidirectional
1013971684624424960,1342164961343094784,bidirectional
1013971684624424960,1342351121063366657,bidirectional
1013971684624424960,1345171517798285314,bidirectional
1013971684624424960,135224017,bidirectional
1013971684624424960,1353014414538985472,bidirectional
1013971684624424960,1353428973808566272,bidirectional
1013971684624424960,1354605758,bidirectional
1013971684624424960,1354934200042983436,bidirectional
1013971684624424960,1361871749973897216,bidirectional
1013971684624424960,1364749022,bidirectional
1013971684624424960,1365387590040444930,bidirectional
1013971684624424960,1366481908222230529,bidirectional
1013971684624424960,1371607039617679365,bidirectional
1013971684624424960,1377638357451309057,bidirectional
1013971684624424960,1379130075975536640,bidirectional
1013971684624424960,1382709960253972480,bidirectional
1013971684624424960,138840988,bidirectional
1013971684624424960,1391007322370043913,bidirectional
1013971684624424960,1391242945844572162,bidirectional
1013971684624424960,1393765529127514115,bidirectional
1013971684624424960,1395491096168484871,bidirectional
1013971684624424960,1403884006295314436,bidirectional
1013971684624424960,1408713582498385926,bidirectional
1013971684624424960,1411871581,bidirectional
1013971684624424960,1413212150047252480,bidirectional
1013971684624424960,14135646,bidirectional
1013971684624424960,1413582442892386304,bidirectional
1013971684624424960,1417441881735184389,bidirectional
1013971684624424960,1417486069881257993,bidirectional
1013971684624424960,1419032094,bidirectional
1013971684624424960,1420820617859895310,bidirectional
1013971684624424960,1425554206908420099,bidirectional
1013971684624424960,1428241817779245058,bidirectional
1013971684624424960,1432264987066519556,bidirectional
1013971684624424960,1432603895390371842,bidirectional
1013971684624424960,1433727800578617353,bidirectional
1013971684624424960,1434573311468580867,bidirectional
1013971684624424960,143472129,bidirectional
1013971684624424960,1437437334618718212,bidirectional
1013971684624424960,1439512231561945090,bidirectional
1013971684624424960,1440505656,bidirectional
1013971684624424960,1443501119083220997,bidirectional
1013971684624424960,1445027035139624969,bidirectional
1013971684624424960,1450153336557105156,bidirectional
1013971684624424960,1452258526689116165,bidirectional
1013971684624424960,1453678744250507270,bidirectional
1013971684624424960,1461322709623787528,bidirectional
1013971684624424960,146340553,bidirectional
1013971684624424960,1468409684361359367,bidirectional
1013971684624424960,1470772941336072195,bidirectional
1013971684624424960,1473756922117513227,bidirectional
1013971684624424960,1476781485286117378,bidirectional
1013971684624424960,147976597,bidirectional
1013971684624424960,1483945570595127298,bidirectional
1013971684624424960,1487802340019113986,bidirectional
1013971684624424960,1488848748092420104,bidirectional
1013971684624424960,1489310093829152771,bidirectional
1013971684624424960,1489818495046979584,bidirectional
1013971684624424960,1493360320101953540,bidirectional
1013971684624424960,1496348031494819842,bidirectional
1013971684624424960,1497952815003676678,bidirectional
1013971684624424960,1501610565348720646,bidirectional
1013971684624424960,1502348291052392455,bidirectional
1013971684624424960,1507251075119665152,bidirectional
1013971684624424960,1513198769982132224,bidirectional
1013971684624424960,1514798196244946953,bidirectional
1013971684624424960,1521502275381997570,bidirectional
1013971684624424960,1521838036337577984,bidirectional
1013971684624424960,15291497,bidirectional
1013971684624424960,1537525893475672064,bidirectional
1013971684624424960,1538496921085415424,bidirectional
1013971684624424960,1544019851815309312,bidirectional
1013971684624424960,1547160546255876097,bidirectional
1013971684624424960,1553912719,bidirectional
1013971684624424960,155694816,bidirectional
1013971684624424960,1557662643086819329,bidirectional
1013971684624424960,1558841503165755396,bidirectional
1013971684624424960,1561095932,bidirectional
1013971684624424960,1567101255989825536,bidirectional
1013971684624424960,1569937634918830082,bidirectional
1013971684624424960,1572550591091716098,bidirectional
1013971684624424960,1578035067754278916,bidirectional
1013971684624424960,1578081452486426641,bidirectional
1013971684624424960,1582170520724045824,bidirectional
1013971684624424960,1582282397533450240,bidirectional
1013971684624424960,1582339455163060224,bidirectional
1013971684624424960,1585517096120655872,bidirectional
